Symbol,logFC,logCPM,PValue,FDR
Spn88Eb,3.34950179,0.381208364,1.69E-10,5.67E-09
Tsp39D,-1.176488759,6.963009047,1.78E-10,5.94E-09
CR45320,-2.958766167,0.93921031,1.84E-10,6.10E-09
Cht5,2.442556587,1.521163111,2.05E-10,6.78E-09
Drsl5,1.110673937,12.8135888,2.14E-10,7.04E-09
CR30009,-2.629849255,1.235484241,2.28E-10,7.50E-09
TrissinR,-1.542511979,5.243611023,2.49E-10,8.14E-09
Cpr65Au,1.092179802,9.857114398,2.69E-10,8.79E-09
Fer1,-1.123910661,7.217101013,2.81E-10,9.14E-09
CG4721,1.101464172,7.559812558,3.15E-10,1.02E-08
CG34456,1.576135241,5.931607747,3.19E-10,1.03E-08
Hml,1.606552109,5.615303828,3.45E-10,1.11E-08
CG17279,1.143205751,8.528391649,3.61E-10,1.16E-08
CG8086,1.080875874,9.513774038,3.97E-10,1.27E-08
CG2065,-1.071644356,7.545248142,3.98E-10,1.27E-08
CG43149,1.040871073,7.640296235,4.05E-10,1.29E-08
CG7966,1.335724645,6.09894716,4.63E-10,1.46E-08
fok,1.083572091,8.026178377,5.73E-10,1.81E-08
CG7236,-1.09200864,7.25748665,6.23E-10,1.96E-08
CG12672,-2.257104849,2.451703246,6.78E-10,2.13E-08
nerfin-2,-2.355966768,2.732625166,8.21E-10,2.56E-08
CG4199,-1.023460422,7.634614699,8.27E-10,2.57E-08
Tep2,1.39608157,5.700896392,8.82E-10,2.73E-08
dysc,-1.143742659,6.789564809,8.84E-10,2.73E-08
sosie,1.023082221,7.728318367,8.90E-10,2.74E-08
Or42b,-7.526940007,6.416966367,9.10E-10,2.80E-08
CG42329,2.242412096,3.871525018,9.21E-10,2.82E-08
CG34227,2.910799499,0.826542147,9.44E-10,2.88E-08
Osi17,-2.819275585,0.902875156,9.55E-10,2.91E-08
krimp,2.297564973,2.180023461,1.03E-09,3.13E-08
CG10357,1.119135581,9.549658818,1.05E-09,3.16E-08
CG17732,-2.758929991,2.220908215,1.06E-09,3.19E-08
CG14445,1.07010284,8.874922827,1.06E-09,3.19E-08
CG13437,-1.600253851,5.016291266,1.18E-09,3.52E-08
CG6908,-1.117599466,9.430831979,1.18E-09,3.53E-08
Cyp9b1,-1.230310267,6.229509436,1.20E-09,3.56E-08
SP2353,-1.016787034,9.348273841,1.26E-09,3.74E-08
CG10874,-1.538005063,5.168450958,1.36E-09,4.01E-08
SPE,1.071464518,7.68551523,1.45E-09,4.27E-08
GNBP3,1.251539805,6.069353227,1.47E-09,4.32E-08
CG43236,2.853062353,0.416857431,1.49E-09,4.37E-08
CG33178,-1.997450413,3.978069468,1.75E-09,5.10E-08
mthl4,2.214982186,2.714976629,1.77E-09,5.15E-08
IFT52,-1.29150371,5.992216852,1.77E-09,5.15E-08
CG8665,2.240670928,2.59685035,1.88E-09,5.43E-08
CG13694,-2.394797914,1.456212745,2.06E-09,5.95E-08
trp,-2.285834933,1.599872463,2.12E-09,6.10E-08
CG32006,-1.159278075,6.776270552,2.13E-09,6.10E-08
CG34120,-1.007844733,9.629843167,2.52E-09,7.21E-08
CG3259,-1.355554517,5.623524128,2.54E-09,7.25E-08
Tim17a2,2.903513099,0.624747778,2.60E-09,7.38E-08
Idgf2,1.035142978,7.961061866,2.71E-09,7.68E-08
bru2,-1.001069244,7.607915807,3.06E-09,8.65E-08
CR44237,-3.336628682,-0.274829193,3.07E-09,8.65E-08
CG8641,-1.697562431,4.739146287,3.09E-09,8.67E-08
CG42808,1.205654922,7.408497292,3.15E-09,8.78E-08
CG4757,1.478580858,10.01400162,3.15E-09,8.78E-08
CG30259,1.359697886,5.618391604,3.86E-09,1.07E-07
CG9701,1.417863645,5.302322535,4.07E-09,1.13E-07
jhamt,-1.651321742,5.173754099,4.15E-09,1.15E-07
CG4302,-1.232066321,6.040626597,4.19E-09,1.16E-07
Scp2,1.625083352,4.851795152,4.30E-09,1.18E-07
SelR,1.084002642,6.68715205,4.33E-09,1.19E-07
CG2816,2.118303737,2.095692539,4.41E-09,1.20E-07
phyl,-1.148917289,6.384678106,4.63E-09,1.26E-07
slp2,-1.828555346,4.205705268,4.65E-09,1.26E-07
Dat,1.014113816,7.932688101,5.21E-09,1.41E-07
CG10031,1.009783618,7.495011449,5.48E-09,1.48E-07
CG9519,-1.184574528,6.887728971,5.69E-09,1.54E-07
CG6421,1.108663974,7.218704876,6.13E-09,1.65E-07
Tsp42Er,2.100988719,2.114198335,6.58E-09,1.76E-07
Naam,0.986464945,9.529871938,6.59E-09,1.76E-07
