Symbol,log2FC,log2RPM,p-value,FDR,Current Symbol,Current FBgn
mamo,-0.01045133,5.69418727,0.954167049,0.986263743,mamo,FBgn0267033
blue,0.010848134,5.943170643,0.954586932,0.98658487,blue,FBgn0041161
RabX4,-0.01480886,4.973619627,0.954893501,0.986788823,RabX4,FBgn0051118
gt,0.055326235,1.759035556,0.95509745,0.986886694,gt,FBgn0001150
CG14655,0.02832489,1.393715621,0.9554905,0.987179915,CG14655,FBgn0037275
CG6745,0.02482395,3.459097214,0.955680608,0.987263421,CG6745,FBgn0035901
CG7368,0.022788281,4.534272664,0.956017243,0.987486034,CG7368,FBgn0036179
CG4332,0.014428088,4.313029191,0.956114715,0.987486034,CG4332,FBgn0030456
CG3735,0.018187515,3.518525999,0.956724199,0.987938893,CG3735,FBgn0034933
stv,0.00960054,7.591781729,0.956771903,0.987938893,stv,FBgn0086708
Ack,0.009418499,6.511070285,0.956946408,0.987994355,Ack,FBgn0028484
CG11970,0.00733365,5.586273559,0.957044344,0.987994355,CG11970,FBgn0027503
Cypl,0.022211905,3.509084342,0.957489055,0.988340507,Cypl,FBgn0035141
CG13390,-0.028941768,3.421878026,0.957916334,0.98866859,CG13390,FBgn0032031
Gpb5,0.048220509,2.010018939,0.958338194,0.988991004,Gpb5,FBgn0063368
l-1-G0095,0.010538505,5.079563336,0.958716317,0.98924241,IntS4,FBgn0026679
CG13036,-0.058524491,1.987125005,0.958838885,0.98924241,CG44836,FBgn0266099
CG16838,-0.026240259,3.517096033,0.958910315,0.98924241,elg1,FBgn0036574
Trn-SR,-0.020531651,4.399513385,0.959226035,0.989455126,Trn-SR,FBgn0031456
CG13970,-0.076236105,1.551444122,0.959986967,0.990019573,CG13970,FBgn0032851
Traf-like,-0.05243747,2.162186511,0.959992413,0.990019573,Traf-like,FBgn0030748
MED30,0.033662841,3.475911182,0.960202958,0.990123676,MED30,FBgn0035149
polybromo,-0.012788245,6.045378676,0.960498683,0.990308791,polybromo,FBgn0039227
osm-6,0.007840901,6.077082941,0.96060172,0.990308791,Osm6,FBgn0031829
Rhp,0.020087928,4.428479953,0.960961252,0.990528577,Rhp,FBgn0026374
shot,-0.010549582,9.588946754,0.961034202,0.990528577,shot,FBgn0013733
pdm3,0.009529924,6.88362332,0.961486791,0.990882007,pdm3,FBgn0261588
CG10584,0.02617521,3.587898269,0.961716034,0.991005207,CG10584,FBgn0037045
Sema-1b,0.007774711,7.682517668,0.961953235,0.991136579,Sema-1b,FBgn0016059
CG2091,-0.013342979,3.752711219,0.962178325,0.991255444,CG2091,FBgn0037372
Hsp60,-0.007281911,8.369682822,0.96243879,0.991410721,Hsp60,FBgn0015245
CG6984,0.044277172,2.280892121,0.962666647,0.991422857,CG6984,FBgn0034191
CG7394,0.012860546,5.165817592,0.962692111,0.991422857,CG7394,FBgn0036173
