all_types	stage	cell
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_A21-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P2_O9-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A141-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A366-0-0
DA4l	24h	ORNcell_24h_ElavCD8GFP_P2_O4-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P3_D3-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P2_O6-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P3_D1-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P3_D6-0-0
DC3	24h	ORNcell_24h_ElavCD8GFP_P2_O1-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P4_A149-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_O3-0-0
DP1l	24h	ORNcell_24h_ElavCD8GFP_P7_A42-0-0
VL2a	24h	ORNcell_24h_ElavCD8GFP_P2_H8-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P7_A41-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A46-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P3_O1-0-0
VA1d	24h	ORNcell_24h_ElavCD8GFP_P5_A30-0-0
VM3	24h	ORNcell_24h_ElavCD8GFP_P4_A363-0-0
DM4	24h	ORNcell_24h_ElavCD8GFP_P2_H3-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P2_H5-0-0
VA2	24h	ORNcell_24h_ElavCD8GFP_P2_H7-0-0
VA1v	24h	ORNcell_24h_ElavCD8GFP_P2_H6-0-0
DM2	24h	ORNcell_24h_ElavCD8GFP_P4_A4-0-0
VM4	24h	ORNcell_24h_ElavCD8GFP_P7_A132-0-0
VC3	24h	ORNcell_24h_ElavCD8GFP_P6_A65-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P7_A139-0-0
DL4	24h	ORNcell_24h_ElavCD8GFP_P6_A62-0-0
DL5	24h	ORNcell_24h_ElavCD8GFP_P2_G22-0-0
NaN	24h	ORNcell_24h_ElavCD8GFP_P2_G21-0-0
DM1	24h	ORNcell_24h_ElavCD8GFP_P1_E19-0-0
