all_types	stage	cell
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P3_N5-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_L8-1-0
NaN	adult	ORN_10day_nuclei_P3_I9-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B3-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P6_D7-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_E10-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_E6-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P5_H15-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_G15-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_G20-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P6_H23-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P2_P12-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P6_J8-1-0
VP1l_VP3	adult	ORNnuclei_adult_nSybUNC84GFP_P5_L13-1-0
DL3	adult	ORN_10day_nuclei_P3_D18-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_F14-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_N20-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_O8-1-0
VA1v	adult	ORN_10day_nuclei_P2_B4-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_I10-1-0
VA2	adult	ORN_10day_nuclei_P2_F11-1-0
DC2	adult	ORN_10day_nuclei_P3_M14-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B22-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_E3-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_I22-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_E13-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P2_H11-1-0
VL1_VM1	adult	ORN_10day_nuclei_P2_J13-1-0
VL1_VM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_E12-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_M10-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P6_K11-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_L24-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P6_N17-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P8_J18-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_C15-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_J10-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_K5-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P9_K2-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P8_H19-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_O3-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P3_B16-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_D16-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_M13-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_G3-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P5_N16-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P5_K11-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_N10-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_L20-1-0
VP4_VP1d_VP2	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B21-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P2_G2-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_O10-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P2_G24-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_F9-1-0
NaN	adult	ORN_10day_nuclei_P3_I15-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B16-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P2_K1-1-0
VP1l_VP3	adult	ORN_10day_nuclei_P3_D2-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P10_G1-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_P12-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P1_D14-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_K16-1-0
DP1m_DC4	adult	ORN_10day_nuclei_P3_M2-1-0
VP1l_VP3	adult	ORNnuclei_adult_nSybUNC84GFP_P9_H7-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_O20-1-0
VL1_VM1	adult	ORN_10day_nuclei_P2_N22-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P7_O18-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_B20-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_G24-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_N2-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P7_G8-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_B18-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P9_G9-1-0
D	adult	ORNnuclei_adult_nSybUNC84GFP_P9_O18-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P2_G11-1-0
NaN	adult	ORN_10day_nuclei_P2_I8-1-0
VA1v	adult	ORN_10day_nuclei_P3_F3-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_K9-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P10_L6-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P2_A12-1-0
D	adult	ORN_10day_nuclei_P2_J14-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_O17-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_O19-1-0
DA1	adult	ORN_10day_nuclei_P3_J13-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P1_K3-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_F8-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_I10-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P10_D7-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_O13-1-0
NaN	adult	ORN_10day_nuclei_P2_N4-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P8_H16-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P3_B15-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P10_D3-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_G17-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_J13-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_H23-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P9_I14-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P10_I13-1-0
VA1v	adult	ORN_10day_nuclei_P2_M4-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P8_K9-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_L23-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_M24-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_C8-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_P15-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P8_O7-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P3_M7-1-0
VL1_VM1	adult	ORN_10day_nuclei_P3_A20-1-0
DM1	adult	ORN_10day_nuclei_P3_O14-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_B2-1-0
VL1_VM1	adult	ORN_10day_nuclei_P3_N10-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_L11-1-0
VA1v	adult	ORN_10day_nuclei_P2_E19-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P3_M14-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_O9-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P6_D15-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_H22-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P8_F9-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_K8-1-0
NaN	adult	ORN_10day_nuclei_P2_B15-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P5_B4-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_B24-1-0
NaN	adult	ORN_10day_nuclei_P3_E1-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_E2-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P3_M19-1-0
VA6_DC3_DM3	adult	ORN_10day_nuclei_P2_M17-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_O10-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P1_M12-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_M7-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_E22-1-0
VA1d	adult	ORNnuclei_adult_nSybUNC84GFP_P1_G5-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_K12-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_A22-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_B2-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P9_L24-1-0
DC1	adult	ORN_10day_nuclei_P2_O12-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_O14-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_H15-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P3_P18-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_I11-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P3_L10-1-0
NaN	adult	ORN_10day_nuclei_P2_M16-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P1_F4-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_G7-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_F24-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P2_P9-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_I16-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P6_L22-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_I3-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P8_D2-1-0
DL2d/v_DP1l_VC3l	adult	ORN_10day_nuclei_P2_N24-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P7_N16-1-0
VA1v	adult	ORN_10day_nuclei_P3_A14-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_E2-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_G18-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_K16-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P1_D24-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P8_B15-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P10_E17-1-0
VA1v	adult	ORN_10day_nuclei_P2_E13-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_I8-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_K16-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_F23-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_C12-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P2_G17-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P3_J6-1-0
VP1l_VP3	adult	ORNnuclei_adult_nSybUNC84GFP_P3_B14-1-0
V	adult	ORN_10day_nuclei_P3_D20-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P8_F15-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_B11-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P9_G13-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P1_O18-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_J22-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_P11-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_I20-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_M18-1-0
NaN	adult	ORN_10day_nuclei_P2_O7-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P10_I18-1-0
VM3_VA5	adult	ORN_10day_nuclei_P3_O10-1-0
NaN	adult	ORN_10day_nuclei_P2_F4-1-0
VL1_VM1	adult	ORN_10day_nuclei_P3_K4-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P5_N3-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_G6-1-0
VP4_VP1d_VP2	adult	ORN_10day_nuclei_P3_J15-1-0
NaN	adult	ORN_10day_nuclei_P2_L17-1-0
DA1	adult	ORN_10day_nuclei_P2_E11-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_E14-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P10_D18-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B14-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P3_M13-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P1_L11-1-0
VP4_VP1d_VP2	adult	ORNnuclei_adult_nSybUNC84GFP_P3_D14-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_H10-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P1_G3-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P7_J8-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_N11-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_C3-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_O5-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_K10-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_H1-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_C16-1-0
NaN	adult	ORN_10day_nuclei_P2_O5-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P3_J4-1-0
VA6_DC3_DM3	adult	ORN_10day_nuclei_P2_N23-1-0
VA1d	adult	ORNnuclei_adult_nSybUNC84GFP_P5_L10-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P10_H12-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P9_L22-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P10_C17-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_B21-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P10_I12-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P1_J22-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_F6-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P6_O7-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_H16-1-0
VA6_DC3_DM3	adult	ORN_10day_nuclei_P2_M6-1-0
VA2	adult	ORNnuclei_adult_nSybUNC84GFP_P5_G11-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_I23-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P10_H24-1-0
NaN	adult	ORN_10day_nuclei_P3_D13-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P9_I12-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P3_M21-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P2_I16-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P1_J14-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_H6-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P3_P17-1-0
DA1	adult	ORN_10day_nuclei_P3_E20-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P8_J7-1-0
NaN	adult	ORN_10day_nuclei_P2_M14-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P8_K3-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P6_K18-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P8_D6-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_F14-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P7_G13-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P3_G5-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_F11-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_H13-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_E17-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_L6-1-0
DM1	adult	ORN_10day_nuclei_P3_H2-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_B15-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_P13-1-0
DA1	adult	ORN_10day_nuclei_P3_F18-1-0
DA1	adult	ORN_10day_nuclei_P3_B3-1-0
VL1_VM1	adult	ORN_10day_nuclei_P2_L15-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P10_N8-1-0
NaN	adult	ORN_10day_nuclei_P3_J12-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_M18-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_G15-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P3_J1-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P10_N20-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_P8-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P5_E23-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P8_M5-1-0
VA6_DC3_DM3	adult	ORN_10day_nuclei_P3_P12-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_E8-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_F18-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P2_M6-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P6_F11-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P9_G12-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_M22-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P2_B7-1-0
VL1_VM1	adult	ORN_10day_nuclei_P2_G18-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_D8-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P2_B4-1-0
NaN	adult	ORN_10day_nuclei_P3_O22-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P5_H3-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_F12-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_J3-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_A16-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P9_C13-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_D4-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P3_E14-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P6_G9-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_F19-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_J2-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P1_F19-1-0
DM1	adult	ORN_10day_nuclei_P2_P7-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P9_M8-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P9_D6-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P10_K6-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_O2-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P2_L15-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_G19-1-0
VP4_VP1d_VP2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_M3-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P8_C10-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P9_K23-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_G20-1-0
VA1d	adult	ORNnuclei_adult_nSybUNC84GFP_P3_D16-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P3_K19-1-0
NaN	adult	ORN_10day_nuclei_P3_O2-1-0
DC2	adult	ORNnuclei_adult_nSybUNC84GFP_P8_C11-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_D13-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P10_D12-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P9_H12-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P3_M6-1-0
VA1d	adult	ORNnuclei_adult_nSybUNC84GFP_P3_M16-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P9_N5-1-0
V	adult	ORN_10day_nuclei_P3_A7-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P9_M16-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_D15-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P2_P14-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P8_K7-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_M7-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P5_O10-1-0
VA1v	adult	ORN_10day_nuclei_P3_D22-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_D14-1-0
DM4	adult	ORN_10day_nuclei_P3_B21-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_L19-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_C21-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_E9-1-0
V	adult	ORN_10day_nuclei_P2_J10-1-0
VA1v	adult	ORN_10day_nuclei_P3_N18-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_K5-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P5_H8-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P7_P5-1-0
VL1_VM1	adult	ORN_10day_nuclei_P3_J3-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P5_J24-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P8_G11-1-0
V	adult	ORNnuclei_adult_nSybUNC84GFP_P8_I24-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_G22-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P3_O10-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P5_F20-1-0
NaN	adult	ORN_10day_nuclei_P2_M22-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P1_A6-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_J19-1-0
VA1v	adult	ORNnuclei_adult_nSybUNC84GFP_P6_J17-1-0
DM4	adult	ORNnuclei_adult_nSybUNC84GFP_P7_M19-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P10_G22-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_B11-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P3_P15-1-0
VM3_VA5	adult	ORNnuclei_adult_nSybUNC84GFP_P3_C13-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P2_L1-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P5_M4-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P3_F14-1-0
NaN	adult	ORN_10day_nuclei_P3_K9-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P7_F23-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P7_B22-1-0
DP1m_DC4	adult	ORNnuclei_adult_nSybUNC84GFP_P6_N11-1-0
VA6_DC3_DM3	adult	ORN_10day_nuclei_P3_K8-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P9_E7-1-0
NaN	adult	ORN_10day_nuclei_P2_G24-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_L13-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P6_I20-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P6_E17-1-0
DC1	adult	ORNnuclei_adult_nSybUNC84GFP_P5_G16-1-0
DM1	adult	ORNnuclei_adult_nSybUNC84GFP_P6_O18-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P3_N8-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P6_N5-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P5_J21-1-0
NaN	adult	ORNnuclei_adult_nSybUNC84GFP_P1_K24-1-0
DM2	adult	ORNnuclei_adult_nSybUNC84GFP_P6_E16-1-0
DA1	adult	ORNnuclei_adult_nSybUNC84GFP_P1_G2-1-0
VL1_VM1	adult	ORN_10day_nuclei_P3_P8-1-0
VA6_DC3_DM3	adult	ORNnuclei_adult_nSybUNC84GFP_P1_L15-1-0
NaN	adult	ORN_10day_nuclei_P3_H3-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P10_N4-1-0
DL5	adult	ORNnuclei_adult_nSybUNC84GFP_P7_L15-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P10_L15-1-0
DL2d/v_DP1l_VC3l	adult	ORNnuclei_adult_nSybUNC84GFP_P2_D20-1-0
