symbol,PN_36h_rep1,PN_36h_rep2,PN_36h_rep3,PN_adult_rep1,PN_adult_rep2,PN_adult_rep3
eve,0.628476965,0.549122661,0.403305984,0,0,0.755742239
exd,7.001915575,7.340013653,7.154125753,6.223288285,6.577310692,6.642030427
exu,0,0,0.516062327,0.066775902,0.384278962,0
e(y)1,4.956910663,5.038859682,5.012832437,3.560854386,3.154594401,3.407952505
e(y)2,4.820918856,4.940280428,4.860990174,3.365815368,3.046828689,2.992545223
eyg,0.366277874,0,0,0.161479554,0,0
E(z),6.000157522,6.027672548,5.895790126,5.8024789,5.348302913,5.573534809
fas,6.829328543,6.678633104,6.701877701,5.657684032,6.267866458,6.22387188
Fas2,8.213809978,7.684219578,7.841099318,6.900064446,6.857247887,6.486141298
Fas3,7.675080342,7.884849871,7.873538814,5.699712732,5.766642817,5.677004928
Fbp1,4.582632007,4.55243779,5.005608142,0,2.692251019,0.755742239
Fbp2,2.240370452,3.423189278,3.416306362,0.130597294,0,0
Fcp3C,1.741702851,2.09468167,2.150681236,0.774503582,0.81804741,1.249141988
fj,0.503325831,0.549122661,1.015327048,0,0,0.035045714
fkh,2.475120899,1.791075026,2.133109169,2.796050433,3.036132685,1.604503555
fl(2)d,8.229639815,8.336588466,8.422042432,7.949256562,7.918085651,8.026041357
Actn,4.590345535,4.483164271,4.56262166,5.683180909,5.043769913,5.57576789
fliI,3.719301163,2.719686633,1.944506093,3.452650631,3.399579709,2.792026232
flw,5.784281653,5.713492735,5.737637923,7.310429309,7.286949434,7.406066782
FMRFa,0,0.081202514,0.215700384,0.627414808,1.606389595,2.338348121
fog,1.796079106,1.583774727,2.251843045,1.232748274,1.265409039,2.28839032
for,0.567258051,0.158077041,0.853067622,0,1.246975234,1.532753413
FER,4.626431913,4.701136674,4.446488649,3.052330187,3.009040512,2.729214923
gd,0,0,0.075540634,0,0,0
fs(1)K10,2.316751964,1.526936274,1.605362592,2.440796779,2.26756314,1.945741566
png,1.484583944,0.736253047,1.414910112,0.692297297,1.532209851,0.669156436
fs(1)Ya,0,0,0,0.066775902,0.126394328,0
fs(1)Yb,0,0,0,0.033774261,0,0.135347252
tj,1.251499213,0.945900736,0.809481815,0,0,2.553035814
dup,3.249463271,3.326582587,3.35698966,3.318644205,2.924570764,2.338348121
ft,0.743632778,0.785544823,3.162832807,0.413175903,2.007752473,0.135347252
ftz,0,0,0,0,0,0.600626626
ftz-f1,1.308726695,1.050424986,1.090089724,4.725916437,4.95428369,4.836156022
fu,5.394835231,5.094927952,4.300638777,5.252365588,4.869460609,5.582446468
fw,0.292540976,0.158077041,0,0,0,0
fy,4.42979927,4.521857453,5.062414252,3.797973536,3.931038232,3.328959659
fz,6.056235968,5.711102904,5.961980252,4.428703796,5.047769017,4.612245203
fzy,4.425493611,4.657120956,4.460646621,3.052330187,1.845695598,2.606438119
g,5.689609978,5.88372347,5.886643423,6.367668708,6.477569634,6.209562473
Gal,0,0.945900736,1.195435982,0.221328946,0.126394328,0.426801509
bnb,6.49729595,6.562358686,6.517785206,4.61733324,4.983805952,4.948413264
Gapdh1,8.775747287,8.707331025,8.797039775,10.8961739,10.84472099,10.76774643
Gapdh2,10.5365631,10.63351661,10.69365791,11.61032601,11.56200311,11.63867756
Gdh,10.20475346,10.00125887,10.15655906,10.24726461,10.15998849,10.30894036
gdl,2.89195003,3.15901959,3.222210437,2.595806673,2.39859724,2.110882328
Galphai,2.540287217,2.417503913,2.532134963,1.646993946,1.532209851,0.93342433
Gbeta13F,11.28531292,10.97983784,10.946789,9.606294327,9.706861085,9.676353796
DCTN1-p150,4.628306421,3.461607826,3.857256209,5.307768753,5.275142008,5.592039047
Gld,1.04246964,1.555635393,0.516062327,0.833223249,0.714518384,1.830776958
Glt,1.923677036,1.716783909,2.097309615,0.926071582,1.170790315,0.259078775
gnu,0,0.041172495,0.215700384,0,0.085481031,0
Galphao,8.450595232,8.324392448,8.149871712,8.789754279,8.893504287,8.716866569
Galphas,6.858367822,7.103266395,6.87241488,6.864434941,6.930189165,6.986397264
Got1,7.555064801,7.736465474,7.601787612,6.742079096,6.703081152,6.664935483
Got2,5.146730019,5.607834748,5.31901207,6.859734856,7.234698837,6.890985697
Gpdh,4.867688337,5.055282219,4.82313637,9.669302967,9.788940431,9.814268479
grau,5.539315392,5.265322333,5.273622104,5.943528371,5.967879477,5.825142929
Grd,0.850272436,0.945900736,0,1.232748274,0.085481031,0.102682134
grk,2.117635196,2.471215304,2.097309615,0.033774261,0.204896494,0.102682134
grn,1.064789212,1.185097719,0.280984078,0.099039483,0.24260175,1.604503555
gro,5.69766655,5.101025354,4.876914045,5.250571434,4.542917555,4.85589109
Gs1,7.884063724,7.563343267,7.461870766,8.760740638,9.052547612,9.071938507
Gs2,5.976071165,5.496600799,5.571451177,8.004327853,8.532316149,8.555952184
gsb-n,0.089806327,0.120151752,0.516062327,0,0.043373527,0
gsb,0,0,0,0.130597294,0,0
GstD1,7.099060177,7.016895568,7.478925634,4.493853582,4.896322639,4.870517225
gt,2.22062605,1.993428657,2.041887442,4.100501489,3.798078394,3.164614035
h,0.292540976,0.231061681,0.215700384,0.130597294,0.24260175,0.797161305
H,3.894633313,3.092026213,3.127772224,3.598015893,3.295795155,3.641915625
H2.0,0.132696544,0.041172495,0,0,0.543803643,0
halo,0.214831388,0,0.147321929,0,0,0
hay,5.699450806,5.625708625,5.281619297,5.0741484,5.316612419,5.076940919
hb,4.941915871,5.131131698,4.933842416,4.734927536,5.292098268,4.85221127
her,6.081085174,6.103127463,6.1484533,5.59967059,5.869637879,5.590567411
Hex-A,5.594053186,5.242335795,5.180459588,8.180623736,8.091793023,8.15098614
Hex-C,1.086768738,1.803093283,0.670218812,1.840705552,1.228302843,0.93342433
hfw,1.108418423,2.320502648,1.605362592,0.413175903,0.573696073,0.837424361
His2Av,8.206927429,8.407183618,8.416605648,7.425223772,7.496282216,7.267426421
